Date,Open,High,Low,Close,Volume,Adj Close
2014-12-15,190.24,190.81,185.41,185.54,4606000,185.54
2014-12-12,191.71,192.64,188.07,188.82,3838900,188.82
2014-12-11,193.00,194.94,192.50,193.54,3179500,193.54
2014-12-10,195.48,195.99,191.60,192.00,6506700,192.00
2014-12-09,193.69,197.22,192.90,196.89,4568400,196.89
2014-12-08,195.45,198.06,194.51,196.62,2715000,196.62
2014-12-05,192.72,196.93,192.54,195.45,3625500,195.45
2014-12-04,190.78,192.34,189.96,191.95,3123400,191.95
2014-12-03,189.75,191.82,189.33,190.95,3049600,190.95
2014-12-02,189.31,190.94,188.81,190.19,3112200,190.19
2014-12-01,188.00,188.62,185.59,188.20,2469000,188.20
2014-11-28,188.40,189.49,188.12,188.41,1195200,188.41
2014-11-26,189.92,189.92,187.73,188.52,2024000,187.92
2014-11-25,190.50,190.50,188.20,188.86,3675300,188.26
2014-11-24,190.14,190.89,189.67,190.07,2028800,189.47
2014-11-21,191.52,191.66,189.37,189.59,2367700,188.99
2014-11-20,187.82,189.86,187.55,189.75,2850000,189.15
2014-11-19,189.71,189.99,188.19,189.19,2260000,188.59
